Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
01.01.2025 00:00;01.01.2025 00:15;469,00;189,75;254,00;3.489,75;2,00;10,00;-;0,00;65,50;370,50;0,00;61,00
01.01.2025 00:15;01.01.2025 00:30;467,00;199,00;299,75;3.497,50;2,00;10,00;-;0,00;65,25;374,50;0,00;61,00
01.01.2025 00:30;01.01.2025 00:45;462,00;199,25;285,00;3.500,00;2,00;10,00;-;0,00;65,00;371,25;0,50;61,00
01.01.2025 00:45;01.01.2025 01:00;461,50;206,50;261,00;3.471,75;2,00;10,00;-;0,00;64,75;377,25;9,00;61,00
01.01.2025 01:00;01.01.2025 01:15;461,25;198,50;212,25;3.485,25;2,00;10,00;-;0,00;63,25;385,00;0,00;61,00
01.01.2025 01:15;01.01.2025 01:30;462,50;186,25;276,50;3.469,50;2,00;10,00;-;0,00;63,25;375,50;0,00;61,00
01.01.2025 01:30;01.01.2025 01:45;462,00;193,50;252,25;3.482,00;2,00;10,00;-;0,00;63,25;367,50;0,00;61,00
01.01.2025 01:45;01.01.2025 02:00;461,25;199,50;252,50;3.497,00;2,00;10,00;-;0,00;63,50;367,25;0,00;61,00
01.01.2025 02:00;01.01.2025 02:15;455,75;186,75;319,50;3.519,75;2,00;10,00;-;0,00;65,25;367,25;0,00;61,00
01.01.2025 02:15;01.01.2025 02:30;454,75;179,00;316,25;3.536,50;2,00;10,00;-;0,00;65,25;367,25;0,00;61,00
01.01.2025 02:30;01.01.2025 02:45;455,00;190,25;296,75;3.506,00;2,00;10,00;-;0,00;65,50;367,50;0,00;61,00
01.01.2025 02:45;01.01.2025 03:00;456,50;181,25;285,25;3.518,00;2,00;10,00;-;0,00;65,50;367,25;0,00;61,00
01.01.2025 03:00;01.01.2025 03:15;456,25;180,25;165,50;3.391,50;2,00;10,25;-;0,00;65,50;367,50;0,00;61,00
01.01.2025 03:15;01.01.2025 03:30;456,25;180,50;118,50;3.411,00;2,00;10,25;-;0,00;65,50;367,25;0,00;61,00
01.01.2025 03:30;01.01.2025 03:45;452,25;176,00;96,25;3.413,75;2,00;10,25;-;0,00;65,50;379,75;0,00;61,00
01.01.2025 03:45;01.01.2025 04:00;454,50;174,25;85,25;3.414,25;2,00;10,25;-;0,00;65,50;379,75;0,00;61,00
01.01.2025 04:00;01.01.2025 04:15;453,00;177,00;151,50;3.359,75;2,00;10,25;-;0,00;64,00;379,75;0,00;60,75
01.01.2025 04:15;01.01.2025 04:30;450,00;177,25;145,00;3.346,25;2,00;10,25;-;0,00;63,00;379,50;0,00;60,75
01.01.2025 04:30;01.01.2025 04:45;449,50;179,50;124,50;3.368,25;2,00;10,25;-;0,00;63,25;379,25;0,00;60,75
01.01.2025 04:45;01.01.2025 05:00;448,75;175,75;104,00;3.381,00;2,00;10,25;-;0,00;63,25;379,50;0,00;60,75
