BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
01.01.2025;00:00;CET;01.01.2025;00:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;260;260;65;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Büttel;Erneuerbar
01.01.2025;00:00;CET;01.01.2025;00:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;260;260;65;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;WALSUM_10;Konventionell
01.01.2025;00:00;CET;01.01.2025;01:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;370;400;462;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland Block D;Konventionell
01.01.2025;00:00;CET;01.01.2025;05:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;381;550;1905;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Heizkraftwerk Heilbronn Block 7;Konventionell
01.01.2025;00:00;CET;01.01.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;41;56;166;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Putlitz;Erneuerbar
01.01.2025;00:00;CET;01.01.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;38;44;154;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Wessin;Erneuerbar
01.01.2025;00:00;CET;01.01.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;197,17;433;1183;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Diele;Erneuerbar
01.01.2025;00:00;CET;01.01.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;151,17;207;907;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Emden-Ost;Erneuerbar
01.01.2025;00:00;CET;01.01.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;265;340;1590;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Reservekraftwerk Altbach/Deizisau Block 1;Konventionell
01.01.2025;00:00;CET;01.01.2025;06:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;230;230;1380;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;ReserveKW Staudinger 4;Konventionell
01.01.2025;00:00;CET;01.01.2025;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;67,86;200;475;TenneT DE;TenneT DE;AVA Cluster Alfstedt;Erneuerbar
01.01.2025;00:00;CET;01.01.2025;07:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;240;240;1680;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4;Konventionell
01.01.2025;00:00;CET;01.01.2025;08:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;238,29;250;2085;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Irsching 5;Konventionell
01.01.2025;00:00;CET;01.01.2025;09:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;239,44;300;2155;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Grosskraftwerk Mannheim Block 7;Konventionell
01.01.2025;00:00;CET;01.01.2025;09:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;466,83;500;4201,5;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Grosskraftwerk Mannheim Block 9;Konventionell
